Date;QQQ;SPY
2018-01-03;0.009669740491919718;0.006304955099180739
2018-01-04;0.001748323966088433;0.00420618442744384
2018-01-05;0.009992659554174037;0.006641740525768135
2018-01-08;0.003882995719130436;0.0018267355606284624
2018-01-09;6.19367931766723e-05;0.002261517074790801
2018-01-10;-0.0023407542703246446;-0.0015312153636985594
2018-01-11;0.0068211290016987215;0.007269462403845313
2018-01-12;0.007322034779397378;0.00649794807699792
2018-01-16;-0.0028612527002659714;-0.0034240772253767548
2018-01-17;0.01073317066088897;0.00948632817639753
2018-01-18;0.00018100612434111804;-0.0016821932930532926
2018-01-19;0.0031311830684177234;0.004539248828040579
2018-01-22;0.010644055446608265;0.008098008411505236
2018-01-23;0.008234083213528438;0.002120241859849581
2018-01-24;-0.006510605795188965;-0.00038847912495459366
2018-01-25;-0.00035618990476646935;0.00042395387461860776
2018-01-26;0.015208944630773488;0.011511197546557404
2018-01-29;-0.004867728021880148;-0.0066522966311350065
2018-01-30;-0.008264514550364957;-0.010309850314950153
2018-01-31;0.004140700234751982;0.0004970262020931616
2018-02-01;-0.008536738151424845;-0.0011360732714002948
2018-02-02;-0.0201469581383338;-0.02201020248393675
2018-02-05;-0.040225295246299884;-0.04272261474518602
2018-02-06;0.02615424887742782;0.019510739659278322
2018-02-07;-0.01302264157664008;-0.0054393954699118365
2018-02-08;-0.04311040932756055;-0.03823060113394141
2018-02-09;0.017121988066800473;0.014909932605245785
2018-02-12;0.017589365538700115;0.014577723868921819
2018-02-13;0.0051482730300554955;0.00248401034318075
2018-02-14;0.018550813424900663;0.013406334215467842
2018-02-15;0.01839378546800419;0.012679150040909491
2018-02-16;-0.004476097744591296;0.00029284657589693006
2018-02-20;0.001998294884685963;-0.006280593594732663
2018-02-21;-0.002847190419606984;-0.0049867577299056555
2018-02-22;-0.00012169154773684551;0.001295099402321512
2018-02-23;0.020242946086299396;0.015814069543720062
2018-02-26;0.013173169770856816;0.011545147710844259
2018-02-27;-0.012459868359325334;-0.012565421525398877
2018-02-28;-0.006438199872067529;-0.010181649745441527
2018-03-01;-0.016461466728701784;-0.014647239806380486
2018-03-02;0.009138826613309973;0.005141642874369452
2018-03-05;0.011023702622692566;0.011491543437633393
2018-03-06;0.004221478357567813;0.002531938997764709
2018-03-07;0.002311173806678689;-0.00036664869637426356
2018-03-08;0.005490578304606656;0.004827424782313827
2018-03-09;0.019241288901179095;0.01725287875227797
2018-03-12;0.005298883263570189;-0.0012559863718998988
2018-03-13;-0.013707923003153277;-0.0064838431856241475
2018-03-14;-0.000174796684732406;-0.005145027996902491
2018-03-15;-0.0008742547974963168;-0.001089982823436962
2018-03-16;-0.002977332645793448;0.0010838464600425731
2018-03-19;-0.021567221393530168;-0.013622779862538082
2018-03-20;0.0032858279189340537;0.0016993041852448017
2018-03-21;-0.004363434193963186;-0.0019209199223037092
2018-03-22;-0.024992292369963604;-0.025315095865715332
2018-03-23;-0.026704962718712675;-0.021545121762234568
2018-03-26;0.036484821898099665;0.026991544294824157
2018-03-27;-0.03289515537546605;-0.017157945659536808
2018-03-28;-0.011570388070687273;-0.0029592674277972276
2018-03-29;0.018149498935024412;0.012696715817384636
2018-04-02;-0.029276204921021017;-0.021821061371013105
2018-04-03;0.011190524602500033;0.01273551932996053
2018-04-04;0.0156469802498058;0.010642196072107734
2018-04-05;0.005680211488934087;0.007861472576397535
2018-04-06;-0.025341717475077363;-0.02253823514985169
2018-04-09;0.006998540453383949;0.004916314939550635
2018-04-10;0.021823158308731168;0.015775112792643948
2018-04-11;-0.005785543324094972;-0.005255895314029172
2018-04-12;0.011969600249107816;0.008193515126788571
2018-04-13;-0.005192181346681623;-0.0029376198127593566
2018-04-16;0.007593495789730424;0.008188118233918736
2018-04-17;0.021296869307829064;0.010641571405802632
2018-04-18;0.002044955883248667;0.0007400943327590942
2018-04-19;-0.009235073938793217;-0.005562795959819844
2018-04-20;-0.015953670125190424;-0.008515726946859143
2018-04-23;-0.0025289419926929424;-0.00014993151674224788
2018-04-24;-0.02141508221078478;-0.013558918235747654
2018-04-25;0.0011981632834128764;0.0024684803160136292
2018-04-26;0.020834266084758805;0.01011449661397452
2018-04-27;0.0006169662749989645;0.0009384549138949927
2018-04-30;-0.007119891668098701;-0.007720247086478709
2018-05-01;0.011368053793489175;0.0017752050163129312
2018-05-02;-0.0059152219136102595;-0.006740208728649841
2018-05-03;-0.00012354882777838974;-0.0022060704954400723
2018-05-04;0.018796425240722576;0.012863352983136522
2018-05-07;0.008275232377860889;0.003377558767888986
2018-05-08;-0.0010232335678562147;0.0
2018-05-09;0.010839970742563201;0.009619351675543513
2018-05-10;0.010311063094080796;0.009307317054808728
2018-05-11;-0.0009437044178662809;0.0030465397096086744
2018-05-14;0.0017099270939539743;0.00047623608066851657
2018-05-15;-0.011137067144162835;-0.0069106206345935185
2018-05-16;0.006590481787371339;0.004196311439799387
2018-05-17;-0.0038540403840272583;-0.0008452019208133973
2018-05-18;-0.005181465113151046;-0.0025030716855343384
2018-05-21;0.005597478996817793;0.007490057361161085
2018-05-22;-0.0013073745243370788;-0.0027836137513676724
2018-05-23;0.008408085660392172;0.0027470598290523216
2018-05-24;-0.0002947757588989081;-0.002050350960002868
2018-05-25;0.0010024311233356536;-0.0023854042986492783
2018-05-29;-0.0044292578276629605;-0.011567743743210443
2018-05-30;0.007135532880340839;0.013256439172810216
2018-05-31;-0.0006467306193870743;-0.006144784637893592
2018-06-01;0.015577568318719894;0.0097698368346209
2018-06-04;0.008990409151862546;0.004739875726866436
